ID,Country of Origin,Lot Number,Altitude,Region,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,Expiration
0,Colombia,CQU2022015,1700-1930,"Piendamo,Cauca",1,35 kg,Japan Coffee Exchange,2021 / 2022,"September 21st, 2022",Castillo,Completed,Double Anaerobic Washed,8.58,8.5,8.42,8.58,8.25,8.42,10,10,10,8.58,0,89.33,11.8,0,0,green,3,"September 21st, 2023"
1,Taiwan,"The 2022 Pacific Rim Coffee Summit,T037",1200,Chiayi,1,80 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Gesha,Completed,Washed / Wet,8.5,8.5,7.92,8,7.92,8.25,10,10,10,8.5,0,87.58,10.5,0,0,blue-green,0,"November 15th, 2023"
2,Laos,"The 2022 Pacific Rim Coffee Summit,LA01",1300,Laos Borofen Plateau,19,25 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Java,Completed,Semi Washed,8.33,8.42,8.08,8.17,7.92,8.17,10,10,10,8.33,0,87.42,10.4,0,0,yellowish,2,"November 15th, 2023"
3,Costa Rica,CQU2022017,1900,"Los Santos,Tarrazu",1,22 kg,Japan Coffee Exchange,2022,"September 21st, 2022",Gesha,Completed,Washed / Wet,8.08,8.17,8.17,8.25,8.17,8.08,10,10,10,8.25,0,87.17,11.8,0,0,green,0,"September 21st, 2023"
4,Colombia,CQU2023002,1850-2100,"Popayan,Cauca",2,24 kg,Japan Coffee Exchange,2022,"March 6th, 2023",Red Bourbon,Completed,"Honey,Mossto",8.33,8.33,8.08,8.25,7.92,7.92,10,10,10,8.25,0,87.08,11.6,0,2,yellow-green,2,"March 5th, 2024"
5,Guatemala,"The 2022 Pacific Rim Coffee Summit,GT02",1668,Chimaltenango,5,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"November 15th, 2022",Gesha,Completed,Washed / Wet,8.33,8.33,8.25,7.83,7.83,8.17,10,10,10,8.25,0,87,10.7,0,0,green,2,"November 15th, 2023"
6,Taiwan,"The 2022 Pacific Rim Coffee Summit,T034",1250,Chiayi,1,27 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Gesha,Completed,Washed / Wet,8.33,8.17,8.08,8,7.83,8.25,10,10,10,8.25,0,86.92,9.1,0,0,green,0,"November 15th, 2023"
7,Taiwan,"The 2022 Pacific Rim Coffee Summit,T050",1200,Chiayi,1,90 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Sl34+Gesha,Completed,Natural / Dry,8.25,8.25,8.17,8,7.92,8.08,10,10,10,8.08,0,86.75,10,0,0,yellow green,1,"November 15th, 2023"
8,Taiwan,"The 2022 Pacific Rim Coffee Summit,T018",1250,Chiayi,1,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",SL34,Completed,Washed / Wet,8.08,8.08,8.25,8.08,7.92,8,10,10,10,8.25,0,86.67,10.8,0,0,greenish,0,"November 15th, 2023"
9,"Tanzania, United Republic Of",CN 4127230034/4189230113,1400-1700,KILIMANJARO,320,60 kg,Kenya Coffee Traders Association,2022 / 2023,"February 1st, 2023",Bourbon,Completed,Washed / Wet,8.08,8.17,8.08,8.17,8,8,10,10,10,8,0,86.5,11,0,0,greenish,0,"February 1st, 2024"
10,Ethiopia,010/0296/600,1800-2200,Guji,10,30 kg,Japan Coffee Exchange,2021 / 2022,"May 31st, 2022",Ethiopian Heirlooms,Completed,Natural / Dry,8.08,8.25,8,8.08,7.92,7.92,10,10,10,8,0,86.25,11.8,0,1,greenish,1,"May 31st, 2023"
11,Guatemala,"The 2022 Pacific Rim Coffee Summit,GT12",2000,Acatenango,5,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"November 15th, 2022",Gesha,Completed,Natural / Dry,8.08,8,8,7.75,8.25,8.17,10,10,10,8,0,86.25,11.5,0,0,brownish,1,"November 15th, 2023"
12,Taiwan,"The 2022 Pacific Rim Coffee Summit,T051",1250,Yunlin,1,60 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Gesha,Completed,Washed / Wet,8.08,8,8.08,8.08,8,8,10,10,10,8,0,86.25,11.9,0,0,green,0,"November 15th, 2023"
13,Ethiopia,"Grade 1, Guji, Natural, Gelana Geisha",1900-2000,Guji,40,60 kg,METAD Agricultural Development plc,2021 / 2022,"August 26th, 2022",Gesha,Completed,Natural / Dry,7.67,8.17,8,8.33,8,8,10,10,10,8,0,86.17,11.6,0,3,yellow- green,2,"August 26th, 2023"
14,Colombia,"The 2022 Pacific Rim Coffee Summit,CO03",1850,tolima,70,35 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Caturra,Completed,Washed / Wet,8.08,8,8.08,7.92,8.08,8,10,10,10,8,0,86.17,10.6,0,0,green,0,"November 15th, 2023"
15,Taiwan,"The 2022 Pacific Rim Coffee Summit,T014",1100,Chiayi,1,60 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",SL34,Completed,Pulped natural / honey,8.17,8.08,8,7.92,8,7.92,10,10,10,8,0,86.08,10.2,0,0,green,0,"November 15th, 2023"
16,Ethiopia,CQU2023006,1900-2100,"Gedeb,Yirgacheffe,Sidamo",8,5 kg,Japan Coffee Exchange,2022,"April 7th, 2023","Wolishalo,Kurume,Dega",Completed,Washed / Wet,8.17,8.08,7.92,8.17,7.75,7.92,10,10,10,8.08,0,86.08,11.3,0,2,green,2,"April 6th, 2024"
17,Taiwan,202203,1300,"Shibi, Gukeng Township, Yunlin County 郵遞區號 , Taiwan (R.O.C.)",5,2 kg,Blossom Valley International宸嶧國際,2022,"October 24th, 2022",Gesha,Completed,Natural / Dry,8,8.17,8,7.92,7.92,7.92,10,10,10,8.17,0,86.08,10.3,0,0,yellow-green,0,"October 24th, 2023"
18,Taiwan,202112,1200,"Gukeng Township, Yunlin County",8,1 kg,Blossom Valley International宸嶧國際,2021 / 2022,"October 24th, 2022",Gesha,Completed,Natural / Dry,8.08,8.17,7.75,7.92,7.83,8,10,10,10,8.17,0,85.92,11,0,0,brownish,1,"October 24th, 2023"
19,"Tanzania, United Republic Of",CN 4127230032/P-9140,1570-1600,Arusha,200,30 kg,Kenya Coffee Traders Association,2022 / 2023,"February 1st, 2023",Bourbon,Completed,Washed / Wet,8.17,8,7.92,7.92,8.17,7.75,10,10,10,7.92,0,85.83,10,0,0,greenish,0,"February 1st, 2024"
20,Guatemala,"The 2022 Pacific Rim Coffee Summit,GT03",1900,"Guatemala, Fraijanes, Santa Rosa",8,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Gesha,Completed,Natural / Dry,8,7.92,8.08,7.92,7.75,8,10,10,10,8.08,0,85.75,11.6,0,0,yellowish,0,"November 15th, 2023"
21,Taiwan,2022/03,850,卓溪鄉Zhuoxi Township,1,20 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"December 12th, 2022",Typica,Completed,Natural / Dry,8.08,8,7.92,7.92,8,7.83,10,10,10,7.92,0,85.67,10.4,0,0,green,0,"December 12th, 2023"
22,Thailand,1,1500-1700,Chiang Mai,2,1 kg,FABB Academy of Coffee,2021 / 2022,"August 16th, 2022",Catimor,Completed,Pulped natural / honey,7.67,8,7.83,8,8.08,8,10,10,10,8.08,0,85.67,9.8,0,0,browish-green,5,"August 16th, 2023"
23,Colombia,CQU2023005,1350,Quindio,6,5 kg,Japan Coffee Exchange,2022,"April 7th, 2023",Castillo Paraguaycito,Completed,,8.08,8,7.83,8.17,7.75,7.83,10,10,10,8,0,85.67,11.3,0,0,brownish,2,"April 6th, 2024"
24,Taiwan,"The 2022 Pacific Rim Coffee Summit, T003",1250,Yunlin,4,50 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",SL34,Completed,Washed / Wet,7.83,8,7.92,8,8,7.92,10,10,10,7.92,0,85.58,10.6,0,0,bluish-green,0,"November 15th, 2023"
25,Brazil,Arara 1,1250,Região Vulcânica,25,60 kg,Brazil Specialty Coffee Association,2022,"January 6th, 2023",,Completed,Pulped natural / honey,7.83,8.08,7.83,7.92,8,7.83,10,10,10,8,0,85.5,11.3,2,0,green,3,"January 6th, 2024"
26,Taiwan,"The 2022 Pacific Rim Coffee Summit,T024",1300,Chiayi,1,100 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Gesha,Completed,Natural / Dry,7.92,7.92,8,7.92,7.83,7.92,10,10,10,8,0,85.5,9.1,0,0,green,2,"November 15th, 2023"
27,Taiwan,"The 2022 Pacific Rim Coffee Summit,T048",1200,Yunlin,1,90 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Gesha,Completed,Natural / Dry,8.17,8.08,7.92,8,7.58,7.83,10,10,10,7.92,0,85.5,10.6,0,0,green,0,"November 15th, 2023"
28,Taiwan,"The 2022 Pacific Rim Coffee Summit,T045",1060,Chiayi,1,85 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Gesha,Completed,Natural / Dry,8,8,8,7.92,7.75,7.92,10,10,10,7.92,0,85.5,10.2,0,0,blue-green,0,"November 15th, 2023"
29,United States (Hawaii),"The 2022 Pacific Rim Coffee Summit,US01",600,Kona,80,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Typica,Completed,Washed / Wet,8,7.92,8,7.83,7.67,8,10,10,10,8,0,85.42,9.3,0,0,green,0,"November 15th, 2023"
30,Taiwan,2022/3/1(老叢),150-250,壽豐鄉Shoufeng Township,3,48 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"December 12th, 2022",Typica,Completed,Washed / Wet,8,8,7.83,7.83,7.75,7.92,10,10,10,8.08,0,85.42,11.4,0,0,bluish-green,0,"December 12th, 2023"
31,Taiwan,2022/02,150-250,壽豐鄉Shoufeng Township,3,50 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"December 12th, 2022",Typica,Completed,Washed / Wet,7.92,8,7.83,7.92,7.83,7.83,10,10,10,8,0,85.33,10.8,0,0,green,0,"December 12th, 2023"
32,Taiwan,2022臺南市精品咖啡評鑑批次,668,"Dongshan Dist., Tainan City",4,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"June 8th, 2022",Gesha,Completed,Washed / Wet,8.08,8.17,7.67,7.83,7.67,7.92,10,10,10,8,0,85.33,11.3,0,0,green,0,"June 8th, 2023"
33,Ethiopia,Washed Limmu,1950,Oromia,320,60 kg,METAD Agricultural Development plc,2021 / 2022,"June 6th, 2022",Ethiopian Heirlooms,Completed,Washed / Wet,7.67,7.83,7.83,8,8,8,10,10,10,8,0,85.33,9.9,0,2,green,3,"June 6th, 2023"
34,Ethiopia,65,2150 - 2350,Southern Ethiopia Guji,320,60 kg,METAD Agricultural Development plc,2021 / 2022,"September 30th, 2022",Ethiopian Heirlooms,Completed,Natural / Dry,8,8.08,8,8,7.67,7.75,10,10,10,7.83,0,85.33,12.3,0,3,yellow green,4,"September 30th, 2023"
35,Ethiopia,1,1700,OROMIA,320,19200 kg,METAD Agricultural Development plc,2021 / 2022,"December 12th, 2022",Ethiopian Heirlooms,Completed,Washed / Wet,7.92,7.75,7.83,8.17,8,7.75,10,10,10,7.83,0,85.25,9.4,0,1,greenish,1,"December 12th, 2023"
36,Taiwan,"The 2022 Pacific Rim Coffee Summit, T004",1200,Chiayi,1,100 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Gesha,Completed,Washed / Wet,8,7.92,7.83,7.92,7.83,7.83,10,10,10,7.92,0,85.25,9.5,0,0,bluish-green,0,"November 15th, 2023"
37,Taiwan,2022臺南市精品咖啡評鑑批次,650,"Dongshan Dist., Tainan City",20,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"June 8th, 2022",Gesha,Completed,Pulped natural / honey,8.25,8.08,7.83,7.75,7.67,7.75,10,10,10,7.92,0,85.25,11.3,0,0,green,0,"June 8th, 2023"
38,Kenya,5516,1600-1900,Central,300,60 kg,Kenya Coffee Traders Association,2022 / 2023,"February 28th, 2023",SL28,Completed,Washed / Wet,8.17,7.75,7.83,7.58,7.92,8,10,10,10,8,0,85.25,9.2,0,0,greenish,1,"February 28th, 2024"
39,Taiwan,202203,850,"Caoling , Gukeng Township, Yunlin County",20,1 kg,Blossom Valley International宸嶧國際,2017 / 2018,"October 24th, 2022",Gesha,Completed,Washed / Wet,7.75,7.92,7.75,8,7.83,7.92,10,10,10,8,0,85.17,10.3,0,0,bluish-green,0,"October 24th, 2023"
40,Taiwan,2022/01,300-500,秀林鄉Show Linxia Township,1,10 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"December 12th, 2022",Typica,Completed,Natural / Dry,8,7.92,7.83,7.92,7.75,7.75,10,10,10,7.92,0,85.08,10,0,0,brownish,0,"December 12th, 2023"
41,Taiwan,屏東縣三地門鄉德文段,1000,台灣屏東,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"December 30th, 2022",Typica,Completed,Washed / Wet,8,8.08,7.67,7.75,7.92,7.83,10,10,10,7.83,0,85.08,10.5,0,0,greenish,0,"December 30th, 2023"
42,Taiwan,A26-Northern Taiwan Specialty Coffee Evaluation,800,苗栗縣,1,50 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Gesha,Completed,Washed / Wet,8,7.92,7.67,8,7.75,7.83,10,10,10,7.92,0,85.08,10,0,0,pale yellow,5,"January 6th, 2024"
43,Uganda,7938,1905,Rwenzori,320,60 kg,Uganda Coffee Development Authority,2021 / 2022,"June 29th, 2022",SL14,Completed,Washed / Wet,8,7.92,7.75,7.75,7.75,7.92,10,10,10,7.92,0,85,11,0,0,green,1,"June 29th, 2023"
44,Taiwan,2021/01,150,壽豐鄉Shoufeng Township,1,50 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"December 12th, 2022",Typica,Completed,,7.92,8,7.92,8,7.58,7.75,10,10,10,7.83,0,85,10.9,0,0,green,0,"December 12th, 2023"
45,Taiwan,"The 2022 Pacific Rim Coffee Summit,T011",800,Yunlin,6,50 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Gesha,Completed,Natural / Dry,8.17,8.08,7.83,7.67,7.67,7.75,10,10,10,7.83,0,85,10.1,0,0,yellow green,0,"November 15th, 2023"
46,Guatemala,11/15/118,1600,Antigua,600,30 kg,Asociacion Nacional Del Café,2022 / 2023,"April 17th, 2023",Caturra,Completed,Washed / Wet,7.67,8.08,7.67,8,7.92,7.83,10,10,10,7.83,0,85,9.9,0,1,green,1,"April 16th, 2024"
47,Guatemala,11/951/279,4700,Santa Rosa,632,30 kg,Asociacion Nacional Del Café,2022 / 2023,"February 23rd, 2023",Catuai,Completed,Washed / Wet,7.67,8,7.75,7.92,8,7.83,10,10,10,7.83,0,85,11.3,0,0,green,4,"February 23rd, 2024"
48,Guatemala,11/441/50,1600,quiche,275,69 kg,Asociacion Nacional Del Café,2021 / 2022,"June 22nd, 2022",Caturra,Completed,Washed / Wet,7.83,7.92,7.75,8,7.75,7.75,10,10,10,7.92,0,84.92,11.7,0,3,green,1,"June 22nd, 2023"
49,Taiwan,A03-Northern Taiwan Specialty Coffee Evaluation,350-400,新竹縣,1,13 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Typica,Completed,Washed / Wet,7.92,7.92,7.83,7.83,7.75,7.83,10,10,10,7.83,0,84.92,9.5,0,0,green,2,"January 6th, 2024"
50,Taiwan,A23-Northern Taiwan Specialty Coffee Evaluation,230,新竹縣,1,4 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Yellow Bourbon,Completed,Natural / Dry,8,8,7.75,7.75,7.67,7.75,10,10,10,7.92,0,84.83,9.7,0,0,brownish,0,"January 6th, 2024"
51,Indonesia,016/1513/262,1200,Aceh Tengah,320,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2022,"September 23rd, 2022",Catimor,Completed,,7.83,7.92,7.75,7.83,7.83,7.83,10,10,10,7.83,0,84.83,11.9,0,3,bluish-green,2,"September 23rd, 2023"
52,Peru,"The 2022 Pacific Rim Coffee Summit,PE02",1750,Villa Rica,3,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"November 15th, 2022",Gesha,Completed,Washed / Wet,8,8,7.83,7.83,7.58,7.83,10,10,10,7.75,0,84.83,10.7,0,0,greenish,0,"November 15th, 2023"
53,"Tanzania, United Republic Of",S59588/P03989,1654,Mbeya,620,30 kg,Kenya Coffee Traders Association,2022 / 2023,"November 9th, 2022",Bourbon,Completed,Washed / Wet,7.92,7.75,7.75,7.92,7.83,7.83,10,10,10,7.83,0,84.83,11.2,0,0,greenish,0,"November 9th, 2023"
54,Taiwan,"The 2022 Pacific Rim Coffee Summit,T029",1300,Chiayi,1,25 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",SL34,Completed,Natural / Dry,7.83,7.83,7.67,7.67,7.83,8,10,10,10,8,0,84.83,9.5,0,0,greenish,0,"November 15th, 2023"
55,Taiwan,"The 2022 Pacific Rim Coffee Summit,T039",1400,Nantou,1,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",SL34,Completed,Washed / Wet,7.67,7.92,7.92,7.83,7.75,7.83,10,10,10,7.83,0,84.75,10.4,0,0,green,0,"November 15th, 2023"
56,Brazil,FBT111,1100,Campo das Vertentes,5,36 kg,Japan Coffee Exchange,2022,"February 13th, 2023",Yellow Bourbon,Completed,Double Carbonic Maceration / Natural,7.83,7.92,7.75,7.92,7.67,7.83,10,10,10,7.83,0,84.75,11.2,0,1,green,5,"February 13th, 2024"
57,Panama,2-237-05,1200,Boquete,200,30 kg,Specialty Coffee Association of Costa Rica,2022 / 2023,"April 26th, 2023",Catuai,Completed,Washed / Wet,7.83,7.83,7.75,7.92,7.83,7.75,10,10,10,7.83,0,84.75,10.3,0,1,bluish-green,5,"April 25th, 2024"
58,Taiwan,屏東縣瑪家鄉,1200,台灣屏東,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"December 30th, 2022",Yellow Bourbon,Completed,Pulped natural / honey,7.92,8.08,7.67,7.92,7.67,7.75,10,10,10,7.75,0,84.75,10,0,0,blue-green,0,"December 30th, 2023"
59,Guatemala,11/15/117,1600,Huehuetenango,600,30 kg,Asociacion Nacional Del Café,2022 / 2023,"April 28th, 2023",Caturra,Completed,Washed / Wet,7.67,8,7.67,7.83,7.92,7.67,10,10,10,7.92,0,84.67,10.6,0,0,green,1,"April 27th, 2024"
60,Guatemala,11/54876/03,4895,ANTIGUA GUATEMALA,66,30 kg,Asociacion Nacional Del Café,2021 / 2022,"May 19th, 2022",Bourbon,Completed,Natural / Dry,7.83,8,7.67,7.83,7.75,7.75,10,10,10,7.83,0,84.67,10.9,0,3,yellow-green,2,"May 19th, 2023"
61,Costa Rica,12075,1850,Tarrazu,260,69 kg,Specialty Coffee Association of Costa Rica,2022 / 2023,"April 19th, 2023",Caturra,Completed,Washed / Wet,7.58,7.83,7.5,7.67,7.83,7.67,10,10,10,8.58,0,84.67,10,0,1,green,2,"April 18th, 2024"
62,Taiwan,A11-Northern Taiwan Specialty Coffee Evaluation,200-300,新竹縣,1,16 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Typica,Completed,Pulped natural / honey,7.83,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,0,84.58,9.6,0,0,greenish,0,"January 6th, 2024"
63,Taiwan,2022臺南市精品咖啡評鑑批次,700,"( Dongshan Dist., Tainan City)",16,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"June 8th, 2022",Gesha,Completed,Pulped natural / honey,8.17,7.83,7.67,7.83,7.67,7.67,10,10,10,7.75,0,84.58,11.5,0,0,green,0,"June 8th, 2023"
64,Nicaragua,10 1.1,1350,ESTELI,74,45 kg,Specialty Coffee Association,2021 / 2022,"June 9th, 2022",Catrenic,Completed,Natural / Dry,7.92,7.75,7.67,7.67,7.83,7.75,10,10,10,8,0,84.58,9.9,1,0,green,2,"June 9th, 2023"
65,Taiwan,"The 2022 Pacific Rim Coffee Summit,T036",1250,Chiayi,1,80 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Gesha,Completed,Washed / Wet,8.08,7.83,7.67,7.67,7.67,7.75,10,10,10,7.92,0,84.58,11.2,0,0,green,2,"November 15th, 2023"
66,Taiwan,"The 2022 Pacific Rim Coffee Summit,T042",1450,Chiayi,1,104 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",SL34,Completed,Natural / Dry,7.83,8,7.67,7.75,7.67,7.75,10,10,10,7.92,0,84.58,10.3,0,0,green,0,"November 15th, 2023"
67,Vietnam,"The 2022 Pacific Rim Coffee Summit,VN02",650,Quang Tri,3,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Catimor,Completed,Natural / Dry,8,7.83,7.75,7.67,7.58,7.83,10,10,10,7.92,0,84.58,11.6,0,0,brownish,0,"November 15th, 2023"
